                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.3358,                 1.7407,                  1.701,                0.81622,                0.57576,                0.64839,                0.39008,                 1.3652,                 1.4939,                 1.6344,              0.0064969,              0.0064969,              0.0064969
                     49,                 1.3297,                 1.7321,                 1.7023,                0.83709,                0.57879,                0.64371,                0.39316,                 1.3561,                 1.5072,                 1.6437,              0.0064208,              0.0064208,              0.0064208
                     50,                 1.3376,                 1.7216,                 1.7035,                0.86373,                0.59545,                0.65664,                0.38944,                 1.3599,                 1.4524,                 1.6405,              0.0063446,              0.0063446,              0.0063446
                     51,                 1.3333,                 1.7163,                 1.7008,                0.86336,                0.58788,                0.66523,                0.38767,                 1.3527,                 1.4005,                 1.6329,              0.0062685,              0.0062685,              0.0062685
                     52,                 1.3285,                 1.7122,                 1.6975,                0.84949,                0.59864,                0.66216,                0.39496,                 1.3336,                 1.4383,                 1.6109,              0.0061923,              0.0061923,              0.0061923
                     53,                 1.3129,                 1.6963,                 1.6798,                0.82079,                0.60606,                0.67972,                0.40685,                 1.3471,                 1.3827,                 1.6119,              0.0061162,              0.0061162,              0.0061162
                     54,                 1.2944,                 1.6716,                 1.6702,                0.81719,                0.60957,                0.67254,                0.40936,                  1.311,                 1.4259,                 1.5738,                0.00604,                0.00604,                0.00604
                     55,                 1.3222,                 1.6916,                 1.6817,                 0.8144,                0.63825,                0.67856,                0.41408,                 1.2985,                 1.4491,                 1.5956,              0.0059638,              0.0059638,              0.0059638
                     56,                 1.3045,                 1.6784,                 1.6741,                0.84689,                0.59697,                0.67439,                 0.4105,                 1.2914,                 1.3972,                 1.5853,              0.0058877,              0.0058877,              0.0058877
                     57,                  1.297,                 1.6862,                 1.6662,                0.84747,                0.58928,                0.66957,                0.41753,                 1.2827,                 1.4084,                 1.5784,              0.0058115,              0.0058115,              0.0058115
                     58,                 1.3181,                  1.671,                 1.6843,                0.89007,                0.58182,                0.68609,                0.40642,                 1.3282,                 1.3828,                  1.596,              0.0057354,              0.0057354,              0.0057354
                     59,                 1.3051,                  1.662,                 1.6738,                0.82398,                0.60996,                0.67858,                 0.4111,                 1.3325,                 1.3597,                    1.6,              0.0056592,              0.0056592,              0.0056592
                     60,                 1.2786,                 1.6482,                 1.6503,                0.88554,                0.59697,                0.67607,                0.41914,                 1.3001,                 1.3666,                 1.5796,              0.0055831,              0.0055831,              0.0055831
                     61,                 1.2677,                 1.6119,                 1.6357,                0.87309,                0.60303,                0.68088,                0.41669,                  1.313,                 1.3472,                 1.5861,              0.0055069,              0.0055069,              0.0055069
                     62,                 1.2772,                 1.6258,                 1.6508,                0.84865,                0.60606,                0.68579,                0.42235,                 1.3046,                 1.3281,                 1.5805,              0.0054308,              0.0054308,              0.0054308
                     63,                 1.2704,                 1.6435,                 1.6471,                0.83629,                0.61212,                0.68499,                0.42432,                 1.3104,                 1.3216,                 1.5886,              0.0053546,              0.0053546,              0.0053546
                     64,                 1.2663,                 1.6092,                  1.644,                 0.8489,                0.62121,                0.69066,                0.42493,                 1.2918,                 1.2534,                 1.5743,              0.0052785,              0.0052785,              0.0052785
                     65,                  1.276,                 1.6163,                 1.6409,                0.83791,                0.64227,                0.70152,                0.43814,                 1.2784,                 1.2088,                 1.5455,              0.0052023,              0.0052023,              0.0052023
                     66,                 1.2865,                 1.6335,                 1.6454,                0.84857,                0.62121,                0.68615,                0.43307,                  1.295,                 1.2558,                 1.5577,              0.0051262,              0.0051262,              0.0051262
                     67,                 1.2809,                 1.6007,                 1.6496,                 0.8885,                0.60303,                 0.6949,                0.43013,                 1.3225,                 1.1992,                 1.5857,                0.00505,                0.00505,                0.00505
                     68,                 1.2815,                 1.6304,                 1.6401,                0.85457,                0.65455,                 0.7078,                0.43305,                 1.3241,                 1.2555,                 1.5829,              0.0049738,              0.0049738,              0.0049738
                     69,                 1.2611,                 1.5684,                  1.625,                0.87879,                0.61516,                0.69901,                0.42992,                 1.3078,                 1.2252,                 1.5804,              0.0048977,              0.0048977,              0.0048977
                     70,                 1.2633,                 1.5937,                 1.6236,                0.85931,                0.62932,                0.70535,                0.43903,                 1.2965,                 1.1736,                 1.5592,              0.0048215,              0.0048215,              0.0048215
                     71,                 1.2458,                 1.5758,                 1.6207,                 0.8519,                0.63333,                0.70476,                0.44171,                 1.2864,                 1.1602,                 1.5468,              0.0047454,              0.0047454,              0.0047454
                     72,                 1.2389,                 1.5444,                 1.6128,                0.85798,                0.61818,                 0.6931,                0.44156,                 1.2783,                  1.167,                 1.5611,              0.0046692,              0.0046692,              0.0046692
                     73,                 1.2378,                 1.5488,                 1.6134,                0.84065,                0.63943,                0.69401,                0.43827,                  1.299,                 1.2152,                 1.5772,              0.0045931,              0.0045931,              0.0045931
                     74,                 1.2419,                 1.5372,                 1.6102,                0.83978,                0.64848,                0.70815,                0.43496,                 1.2919,                 1.1748,                 1.5698,              0.0045169,              0.0045169,              0.0045169
                     75,                 1.2488,                 1.5559,                 1.6239,                0.88385,                 0.6226,                0.70419,                0.43527,                 1.2831,                 1.1401,                 1.5501,              0.0044408,              0.0044408,              0.0044408
                     76,                 1.2301,                 1.5445,                  1.604,                0.88472,                0.62795,                0.71748,                0.44443,                 1.2846,                 1.1337,                 1.5536,              0.0043646,              0.0043646,              0.0043646
                     77,                 1.2298,                  1.529,                 1.6042,                 0.8804,                0.62458,                0.70734,                0.44268,                    1.3,                 1.1306,                 1.5623,              0.0042885,              0.0042885,              0.0042885
                     78,                 1.2455,                 1.5389,                 1.6163,                0.85726,                0.63636,                0.71397,                0.44273,                 1.2933,                  1.139,                 1.5588,              0.0042123,              0.0042123,              0.0042123
                     79,                 1.2259,                  1.516,                 1.6004,                0.85268,                0.64893,                0.72678,                0.44993,                 1.2815,                 1.1225,                 1.5516,              0.0041362,              0.0041362,              0.0041362
                     80,                  1.217,                  1.526,                 1.6029,                0.85501,                0.64848,                0.72667,                0.45089,                 1.2828,                 1.1002,                 1.5499,                0.00406,                0.00406,                0.00406
                     81,                 1.2154,                 1.5196,                 1.5962,                0.84818,                0.64334,                0.72329,                0.45154,                 1.2925,                 1.1141,                 1.5518,              0.0039838,              0.0039838,              0.0039838
                     82,                 1.2373,                 1.5295,                 1.6064,                0.84826,                0.64545,                0.71723,                 0.4484,                 1.2853,                 1.1103,                 1.5533,              0.0039077,              0.0039077,              0.0039077
                     83,                 1.2084,                 1.4912,                 1.5915,                0.85373,                0.63939,                0.71794,                0.44921,                 1.2833,                 1.1026,                 1.5547,              0.0038315,              0.0038315,              0.0038315
                     84,                 1.1925,                 1.4812,                 1.5782,                0.85788,                0.64545,                0.71693,                0.44904,                 1.2939,                 1.1201,                 1.5699,              0.0037554,              0.0037554,              0.0037554
                     85,                 1.2201,                 1.5174,                 1.5914,                0.86826,                0.64545,                 0.7176,                0.45109,                 1.2883,                 1.1066,                 1.5614,              0.0036792,              0.0036792,              0.0036792
                     86,                 1.2025,                 1.4938,                 1.5816,                0.86644,                0.65455,                0.72591,                0.45863,                 1.2858,                 1.0754,                  1.558,              0.0036031,              0.0036031,              0.0036031
                     87,                 1.1904,                 1.4807,                 1.5644,                0.86069,                0.65455,                0.72784,                0.45956,                 1.2749,                 1.0888,                 1.5428,              0.0035269,              0.0035269,              0.0035269
                     88,                 1.1908,                 1.4626,                 1.5679,                0.86583,                0.66061,                0.72783,                0.45934,                 1.2781,                 1.0816,                 1.5462,              0.0034508,              0.0034508,              0.0034508
                     89,                 1.2102,                 1.4483,                 1.5869,                0.86169,                0.66075,                 0.7271,                0.45713,                  1.281,                 1.0726,                 1.5487,              0.0033746,              0.0033746,              0.0033746
                     90,                 1.1747,                 1.4311,                 1.5604,                0.87099,                0.65467,                0.72935,                0.45719,                  1.272,                 1.0669,                 1.5374,              0.0032985,              0.0032985,              0.0032985
